X,Y,FWHM,FWHM Error
7820.480059,-17315.8043,7.053675,0.098347
7870.480059,-17315.8043,7.139297,0.108783
7920.480059,-17315.8043,7.348666,0.120478
7970.480059,-17315.8043,8.453147,0.130756
8020.480059,-17315.8043,10.127145,0.120244
8070.480059,-17315.8043,9.619321,0.125887
8120.480059,-17315.8043,8.040952,0.120224
8170.480059,-17315.8043,7.787578,0.113656
8220.480059,-17315.8043,8.152507,0.116631
8270.480059,-17315.8043,8.37578,0.120081
8320.480059,-17315.8043,9.462248,0.128723
8370.480059,-17315.8043,9.93368,0.128982
8420.480059,-17315.8043,9.716558,0.12629
8470.480059,-17315.8043,10.385038,0.117889
8520.480059,-17315.8043,10.152401,0.118557
8570.480059,-17315.8043,8.655085,0.116936
8620.480059,-17315.8043,7.485921,0.107191
8670.480059,-17315.8043,7.505682,0.113149
8720.480059,-17315.8043,8.25072,0.122431
8770.480059,-17315.8043,8.283343,0.119302
8820.480059,-17315.8043,8.371301,0.122133
8870.480059,-17315.8043,9.345133,0.132022
8920.480059,-17315.8043,10.483227,0.132002
8970.480059,-17315.8043,11.13116,0.115277
9020.480059,-17315.8043,10.999981,0.107945
9070.480059,-17315.8043,10.18364,0.113003
9120.480059,-17315.8043,10.156169,0.113079
9170.480059,-17315.8043,10.940359,0.108655
9220.480059,-17315.8043,10.72346,0.110791
9270.480059,-17315.8043,9.204263,0.11805
9320.480059,-17315.8043,8.944365,0.120916
9370.480059,-17315.8043,9.482999,0.127419
9420.480059,-17315.8043,8.754088,0.125272
9470.480059,-17315.8043,8.031762,0.119422
9520.480059,-17315.8043,8.146651,0.121373
9570.480059,-17315.8043,9.019801,0.124998
9620.480059,-17315.8043,9.625379,0.119843
9670.480059,-17315.8043,9.239764,0.121831
6420.480059,-17265.8043,7.845893,0.176951
6470.480059,-17265.8043,7.999563,0.128936
6520.480059,-17265.8043,8.293302,0.117779
6570.480059,-17265.8043,8.711148,0.118202
6620.480059,-17265.8043,8.889473,0.113792
6670.480059,-17265.8043,9.380403,0.102328
6720.480059,-17265.8043,9.869354,0.102655
6770.480059,-17265.8043,10.417459,0.114138
6820.480059,-17265.8043,10.962152,0.110537
6870.480059,-17265.8043,10.215273,0.103199
6920.480059,-17265.8043,8.993999,0.109747
6970.480059,-17265.8043,8.102759,0.112767
7020.480059,-17265.8043,7.975045,0.117207
7070.480059,-17265.8043,8.851093,0.119494
7120.480059,-17265.8043,8.10825,0.111554
7170.480059,-17265.8043,6.827293,0.09339
7220.480059,-17265.8043,6.617459,0.096355
7270.480059,-17265.8043,7.27727,0.11677
7320.480059,-17265.8043,8.211208,0.123646
7370.480059,-17265.8043,8.966558,0.118667
7420.480059,-17265.8043,10.782625,0.097992
7470.480059,-17265.8043,12.414109,0.105613
7520.480059,-17265.8043,12.316291,0.100177
7570.480059,-17265.8043,10.637677,0.0987
7620.480059,-17265.8043,9.043023,0.121999
7670.480059,-17265.8043,9.441225,0.117002
7720.480059,-17265.8043,9.756023,0.105565
7770.480059,-17265.8043,8.503745,0.109671
7820.480059,-17265.8043,7.622153,0.107658
7870.480059,-17265.8043,7.567859,0.113667
7920.480059,-17265.8043,7.612482,0.120529
7970.480059,-17265.8043,8.469133,0.129531
8020.480059,-17265.8043,9.534138,0.127753
8070.480059,-17265.8043,8.872754,0.12895
8120.480059,-17265.8043,8.170177,0.119268
8170.480059,-17265.8043,8.279798,0.114326
8220.480059,-17265.8043,8.563184,0.117101
8270.480059,-17265.8043,8.870138,0.12396
8320.480059,-17265.8043,9.786564,0.124813
8370.480059,-17265.8043,9.755923,0.126377
8420.480059,-17265.8043,9.493941,0.126755
8470.480059,-17265.8043,10.022096,0.119392
8520.480059,-17265.8043,10.467981,0.112717
8570.480059,-17265.8043,9.847096,0.113455
8620.480059,-17265.8043,8.31543,0.110994
8670.480059,-17265.8043,7.519953,0.111858
8720.480059,-17265.8043,7.742226,0.120246
8770.480059,-17265.8043,8.168817,0.120313
8820.480059,-17265.8043,8.612338,0.123073
8870.480059,-17265.8043,9.009591,0.136515
8920.480059,-17265.8043,8.957203,0.141582
8970.480059,-17265.8043,9.305613,0.129016
9020.480059,-17265.8043,9.582352,0.121244
9070.480059,-17265.8043,9.026487,0.123505
9120.480059,-17265.8043,8.85041,0.125171
9170.480059,-17265.8043,9.755048,0.125086
9220.480059,-17265.8043,9.892699,0.118208
9270.480059,-17265.8043,8.64957,0.11427
9320.480059,-17265.8043,8.757195,0.116607
9370.480059,-17265.8043,9.56369,0.126714
9420.480059,-17265.8043,8.850369,0.127678
9470.480059,-17265.8043,8.269494,0.121721
9520.480059,-17265.8043,8.541822,0.123199
9570.480059,-17265.8043,9.026988,0.12261
9620.480059,-17265.8043,9.199743,0.122848
9670.480059,-17265.8043,9.071032,0.128743
6420.480059,-17215.8043,7.388577,0.112412
6470.480059,-17215.8043,8.309816,0.117386
6520.480059,-17215.8043,9.700742,0.111458
6570.480059,-17215.8043,10.457957,0.099784
6620.480059,-17215.8043,9.588604,0.100525
